event_id,event_date,report_id,event_type,severity,stakeholder_group,estimated_impact,resolution_state,note
EVT0268,2026-04-10,RPT016,quality alert,High,commercial leadership,19462,Monitoring,quality exception tied to customer hierarchy mapping
EVT0269,2026-03-13,RPT017,refresh exception,High,national customer team,8385,In review,refresh evidence attached to operating review
EVT0270,2026-03-11,RPT007,performance review,High,category management,22491,Resolved,metric definition requires clarification
EVT0271,2026-04-04,RPT030,quality alert,Medium,bottler finance leads,44367,Monitoring,source owner confirmation needed
EVT0272,2026-02-04,RPT009,definition question,Critical,supply planning,6272,Monitoring,quality exception tied to customer hierarchy mapping
EVT0273,2026-02-28,RPT003,stakeholder training ask,Critical,supply planning,5974,Open,metric definition requires clarification
EVT0274,2026-04-14,RPT028,performance review,High,commercial leadership,18471,Resolved,source owner confirmation needed
EVT0275,2026-04-26,RPT003,definition question,Medium,supply planning,33265,Monitoring,source owner confirmation needed
EVT0276,2026-04-09,RPT011,performance review,Critical,national customer team,31241,Open,training material should be refreshed
EVT0277,2026-02-15,RPT001,definition question,Critical,category management,52220,In review,metric definition requires clarification
EVT0278,2026-05-04,RPT029,quality alert,High,national customer team,27217,Resolved,training material should be refreshed
EVT0279,2026-01-21,RPT026,definition question,High,field sales operations,6863,Open,quality exception tied to customer hierarchy mapping
EVT0280,2026-05-16,RPT003,stakeholder training ask,High,supply planning,50531,Monitoring,metric definition requires clarification
EVT0281,2026-05-10,RPT012,quality alert,Critical,bottler finance leads,32999,Open,source owner confirmation needed
EVT0282,2026-05-04,RPT005,stakeholder training ask,High,national customer team,8674,In review,training material should be refreshed
EVT0283,2026-04-17,RPT011,stakeholder training ask,Medium,national customer team,53400,Open,refresh evidence attached to operating review
EVT0284,2026-02-06,RPT019,quality alert,Medium,category management,40975,In review,training material should be refreshed
EVT0285,2026-03-30,RPT016,definition question,Low,commercial leadership,37373,Monitoring,training material should be refreshed
EVT0286,2026-05-18,RPT031,stakeholder training ask,Low,category management,33309,Monitoring,training material should be refreshed
EVT0287,2026-02-09,RPT032,quality alert,High,field sales operations,25057,In review,refresh evidence attached to operating review
EVT0288,2026-01-21,RPT028,stakeholder training ask,Medium,commercial leadership,16594,Resolved,source owner confirmation needed
EVT0289,2026-04-23,RPT013,quality alert,Critical,category management,34704,In review,refresh evidence attached to operating review
EVT0290,2026-03-06,RPT008,performance review,Medium,field sales operations,26697,Monitoring,quality exception tied to customer hierarchy mapping
EVT0291,2026-03-09,RPT026,performance review,Low,field sales operations,36726,Open,refresh evidence attached to operating review
EVT0292,2026-03-14,RPT024,definition question,Medium,bottler finance leads,4532,Open,source owner confirmation needed
EVT0293,2026-05-03,RPT012,quality alert,Critical,bottler finance leads,25094,Open,quality exception tied to customer hierarchy mapping
EVT0294,2026-04-18,RPT013,stakeholder training ask,Low,category management,19609,Monitoring,source owner confirmation needed
EVT0295,2026-04-01,RPT010,refresh exception,Medium,commercial leadership,15756,Monitoring,source owner confirmation needed
EVT0296,2026-02-07,RPT017,performance review,Low,national customer team,15350,Monitoring,training material should be refreshed
EVT0297,2026-05-05,RPT029,quality alert,Critical,national customer team,38472,In review,quality exception tied to customer hierarchy mapping
EVT0298,2026-04-10,RPT012,quality alert,Critical,bottler finance leads,48634,Resolved,quality exception tied to customer hierarchy mapping
EVT0299,2026-02-22,RPT021,quality alert,Critical,supply planning,28501,In review,quality exception tied to customer hierarchy mapping
EVT0300,2026-04-23,RPT016,performance review,Medium,commercial leadership,27101,In review,metric definition requires clarification
EVT0301,2026-01-23,RPT020,performance review,Critical,field sales operations,12594,Open,quality exception tied to customer hierarchy mapping
EVT0302,2026-04-08,RPT023,lineage ownership update,Low,national customer team,42528,Monitoring,source owner confirmation needed
EVT0303,2026-04-05,RPT002,lineage ownership update,Low,field sales operations,40508,Open,training material should be refreshed
EVT0304,2026-04-09,RPT002,quality alert,Medium,field sales operations,27023,In review,refresh evidence attached to operating review
EVT0305,2026-02-23,RPT010,definition question,High,commercial leadership,9524,In review,refresh evidence attached to operating review
EVT0306,2026-04-07,RPT024,definition question,Medium,bottler finance leads,26739,Monitoring,metric definition requires clarification
EVT0307,2026-04-18,RPT009,performance review,Critical,supply planning,12960,In review,metric definition requires clarification
EVT0308,2026-05-02,RPT007,definition question,High,category management,16804,In review,training material should be refreshed
EVT0309,2026-04-29,RPT004,refresh exception,Critical,commercial leadership,41733,In review,metric definition requires clarification
EVT0310,2026-02-21,RPT029,definition question,Low,national customer team,6793,Monitoring,training material should be refreshed
EVT0311,2026-03-15,RPT005,refresh exception,Critical,national customer team,12569,Resolved,quality exception tied to customer hierarchy mapping
EVT0312,2026-05-12,RPT021,refresh exception,Medium,supply planning,14260,Monitoring,refresh evidence attached to operating review
EVT0313,2026-04-24,RPT001,definition question,Critical,category management,22414,In review,quality exception tied to customer hierarchy mapping
EVT0314,2026-03-11,RPT026,performance review,High,field sales operations,32585,Open,source owner confirmation needed
EVT0315,2026-02-16,RPT006,quality alert,Low,bottler finance leads,30918,In review,metric definition requires clarification
EVT0316,2026-04-04,RPT008,performance review,Low,field sales operations,36414,Resolved,refresh evidence attached to operating review
EVT0317,2026-05-18,RPT022,definition question,Low,commercial leadership,52008,Monitoring,metric definition requires clarification
EVT0318,2026-04-04,RPT028,performance review,High,commercial leadership,52827,Open,refresh evidence attached to operating review
EVT0319,2026-05-12,RPT030,performance review,Critical,bottler finance leads,43720,Resolved,training material should be refreshed
EVT0320,2026-04-06,RPT005,stakeholder training ask,Critical,national customer team,39558,Monitoring,refresh evidence attached to operating review
EVT0321,2026-04-24,RPT004,quality alert,Medium,commercial leadership,14131,Monitoring,training material should be refreshed
EVT0322,2026-04-03,RPT020,performance review,High,field sales operations,46176,Open,training material should be refreshed
EVT0323,2026-03-18,RPT016,performance review,Low,commercial leadership,49562,Resolved,metric definition requires clarification
EVT0324,2026-02-08,RPT017,definition question,Low,national customer team,28600,In review,refresh evidence attached to operating review
EVT0325,2026-02-04,RPT013,stakeholder training ask,Critical,category management,31960,Resolved,training material should be refreshed
EVT0326,2026-02-12,RPT010,quality alert,Low,commercial leadership,13385,Resolved,metric definition requires clarification
EVT0327,2026-05-03,RPT007,performance review,Critical,category management,13769,Open,quality exception tied to customer hierarchy mapping
EVT0328,2026-05-17,RPT002,quality alert,High,field sales operations,30282,In review,source owner confirmation needed
EVT0329,2026-03-02,RPT030,refresh exception,Low,bottler finance leads,44560,In review,quality exception tied to customer hierarchy mapping
EVT0330,2026-03-30,RPT024,quality alert,High,bottler finance leads,2166,In review,metric definition requires clarification
EVT0331,2026-03-21,RPT011,refresh exception,Low,national customer team,20757,Resolved,metric definition requires clarification
EVT0332,2026-01-31,RPT021,quality alert,High,supply planning,43810,Monitoring,metric definition requires clarification
EVT0333,2026-02-17,RPT019,refresh exception,Critical,category management,6301,Open,refresh evidence attached to operating review
EVT0334,2026-05-19,RPT015,quality alert,High,supply planning,18317,Monitoring,source owner confirmation needed
EVT0335,2026-05-11,RPT023,definition question,Medium,national customer team,17132,In review,training material should be refreshed
EVT0336,2026-02-02,RPT020,stakeholder training ask,Critical,field sales operations,36885,In review,metric definition requires clarification
EVT0337,2026-03-11,RPT003,lineage ownership update,Medium,supply planning,38530,Resolved,training material should be refreshed
EVT0338,2026-02-11,RPT003,lineage ownership update,High,supply planning,23912,Monitoring,source owner confirmation needed
EVT0339,2026-04-03,RPT027,performance review,Low,supply planning,50779,Open,refresh evidence attached to operating review
EVT0340,2026-03-08,RPT012,definition question,Medium,bottler finance leads,8197,Resolved,training material should be refreshed
EVT0341,2026-04-23,RPT016,stakeholder training ask,High,commercial leadership,7741,In review,metric definition requires clarification
EVT0342,2026-02-03,RPT028,quality alert,Critical,commercial leadership,31736,Resolved,refresh evidence attached to operating review
EVT0343,2026-03-16,RPT006,refresh exception,Critical,bottler finance leads,1910,Resolved,training material should be refreshed
EVT0344,2026-02-17,RPT016,stakeholder training ask,Low,commercial leadership,32925,In review,refresh evidence attached to operating review
EVT0345,2026-01-30,RPT031,quality alert,Critical,category management,47127,Resolved,refresh evidence attached to operating review
EVT0346,2026-03-14,RPT001,lineage ownership update,High,category management,16885,Open,metric definition requires clarification
EVT0347,2026-03-19,RPT007,lineage ownership update,High,category management,1226,Monitoring,quality exception tied to customer hierarchy mapping
EVT0348,2026-02-06,RPT029,lineage ownership update,Critical,national customer team,30449,In review,source owner confirmation needed
EVT0349,2026-01-31,RPT018,lineage ownership update,Critical,bottler finance leads,12321,In review,source owner confirmation needed
EVT0350,2026-04-12,RPT007,stakeholder training ask,Critical,category management,37372,Monitoring,training material should be refreshed
EVT0351,2026-04-18,RPT025,definition question,Critical,category management,18140,Open,source owner confirmation needed
EVT0352,2026-04-11,RPT010,definition question,High,commercial leadership,17371,Open,refresh evidence attached to operating review
EVT0353,2026-03-02,RPT022,refresh exception,High,commercial leadership,26830,Open,refresh evidence attached to operating review
EVT0354,2026-02-26,RPT008,performance review,Medium,field sales operations,36687,Resolved,source owner confirmation needed
EVT0355,2026-04-07,RPT015,stakeholder training ask,Medium,supply planning,26014,Monitoring,training material should be refreshed
EVT0356,2026-03-05,RPT019,stakeholder training ask,Critical,category management,39797,Open,quality exception tied to customer hierarchy mapping
EVT0357,2026-01-31,RPT019,definition question,Medium,category management,24516,Open,quality exception tied to customer hierarchy mapping
EVT0358,2026-03-11,RPT023,quality alert,Critical,national customer team,45582,Open,metric definition requires clarification
EVT0359,2026-04-12,RPT022,definition question,Medium,commercial leadership,34432,In review,metric definition requires clarification
EVT0360,2026-02-15,RPT008,quality alert,Critical,field sales operations,33063,In review,training material should be refreshed
EVT0361,2026-05-19,RPT013,definition question,High,category management,41674,Open,quality exception tied to customer hierarchy mapping
EVT0362,2026-05-12,RPT030,stakeholder training ask,Critical,bottler finance leads,17402,Resolved,quality exception tied to customer hierarchy mapping
EVT0363,2026-04-20,RPT026,performance review,Medium,field sales operations,10490,Resolved,training material should be refreshed
EVT0364,2026-03-23,RPT015,performance review,Critical,supply planning,14054,Monitoring,refresh evidence attached to operating review
EVT0365,2026-03-25,RPT012,stakeholder training ask,Low,bottler finance leads,6234,Monitoring,source owner confirmation needed
EVT0366,2026-03-08,RPT028,quality alert,High,commercial leadership,40322,Resolved,training material should be refreshed
EVT0367,2026-04-07,RPT013,definition question,High,category management,4323,Monitoring,quality exception tied to customer hierarchy mapping
EVT0368,2026-03-25,RPT022,performance review,Medium,commercial leadership,40974,Resolved,quality exception tied to customer hierarchy mapping
EVT0369,2026-02-19,RPT027,refresh exception,Critical,supply planning,47329,In review,quality exception tied to customer hierarchy mapping
EVT0370,2026-03-02,RPT022,performance review,High,commercial leadership,9156,Monitoring,quality exception tied to customer hierarchy mapping
EVT0371,2026-04-19,RPT014,lineage ownership update,High,field sales operations,15574,Open,training material should be refreshed
EVT0372,2026-02-22,RPT008,quality alert,Low,field sales operations,24545,Resolved,training material should be refreshed
EVT0373,2026-04-04,RPT003,stakeholder training ask,Critical,supply planning,26718,In review,training material should be refreshed
EVT0374,2026-03-31,RPT010,definition question,Critical,commercial leadership,18350,Open,training material should be refreshed
EVT0375,2026-04-29,RPT002,definition question,Medium,field sales operations,49997,Monitoring,refresh evidence attached to operating review
EVT0376,2026-02-14,RPT002,definition question,High,field sales operations,31469,Monitoring,refresh evidence attached to operating review
EVT0377,2026-01-26,RPT015,stakeholder training ask,Critical,supply planning,38577,Monitoring,training material should be refreshed
EVT0378,2026-04-15,RPT005,performance review,Low,national customer team,39392,Open,refresh evidence attached to operating review
EVT0379,2026-04-28,RPT023,refresh exception,High,national customer team,2714,Monitoring,metric definition requires clarification
EVT0380,2026-02-24,RPT015,stakeholder training ask,Low,supply planning,24960,Open,training material should be refreshed
EVT0381,2026-04-21,RPT008,performance review,Low,field sales operations,33904,Open,quality exception tied to customer hierarchy mapping
EVT0382,2026-04-02,RPT010,quality alert,Medium,commercial leadership,4650,In review,training material should be refreshed
EVT0383,2026-04-26,RPT006,performance review,Medium,bottler finance leads,41713,Open,source owner confirmation needed
EVT0384,2026-04-04,RPT012,performance review,High,bottler finance leads,4133,Open,source owner confirmation needed
EVT0385,2026-03-17,RPT020,definition question,Critical,field sales operations,12766,Open,training material should be refreshed
EVT0386,2026-03-02,RPT024,quality alert,Medium,bottler finance leads,32761,In review,quality exception tied to customer hierarchy mapping
EVT0387,2026-02-21,RPT002,lineage ownership update,Critical,field sales operations,23805,Monitoring,training material should be refreshed
EVT0388,2026-03-09,RPT021,lineage ownership update,High,supply planning,19782,In review,refresh evidence attached to operating review
EVT0389,2026-02-14,RPT015,quality alert,Medium,supply planning,52111,Resolved,refresh evidence attached to operating review
EVT0390,2026-01-28,RPT022,lineage ownership update,Low,commercial leadership,14777,Resolved,quality exception tied to customer hierarchy mapping
EVT0391,2026-05-01,RPT013,refresh exception,Medium,category management,20506,Open,metric definition requires clarification
EVT0392,2026-02-04,RPT003,stakeholder training ask,Low,supply planning,27780,Resolved,training material should be refreshed
EVT0393,2026-02-14,RPT003,definition question,Medium,supply planning,20248,Open,refresh evidence attached to operating review
EVT0394,2026-04-24,RPT031,performance review,Medium,category management,14562,Resolved,metric definition requires clarification
EVT0395,2026-04-27,RPT003,performance review,Critical,supply planning,8476,In review,source owner confirmation needed
EVT0396,2026-01-31,RPT011,stakeholder training ask,Low,national customer team,29631,In review,quality exception tied to customer hierarchy mapping
EVT0397,2026-02-17,RPT011,refresh exception,Critical,national customer team,31432,Open,source owner confirmation needed
EVT0398,2026-03-30,RPT002,refresh exception,Medium,field sales operations,16636,In review,refresh evidence attached to operating review
EVT0399,2026-05-16,RPT031,refresh exception,Medium,category management,53481,Resolved,refresh evidence attached to operating review
EVT0400,2026-02-19,RPT021,definition question,Critical,supply planning,21490,Resolved,source owner confirmation needed
EVT0401,2026-04-07,RPT005,performance review,Medium,national customer team,24051,Resolved,refresh evidence attached to operating review
EVT0402,2026-03-27,RPT012,stakeholder training ask,Medium,bottler finance leads,39986,Monitoring,metric definition requires clarification
EVT0403,2026-05-03,RPT020,refresh exception,Medium,field sales operations,16374,Resolved,quality exception tied to customer hierarchy mapping
EVT0404,2026-01-27,RPT010,quality alert,Low,commercial leadership,32322,Resolved,quality exception tied to customer hierarchy mapping
EVT0405,2026-02-22,RPT005,definition question,Low,national customer team,40993,Open,quality exception tied to customer hierarchy mapping
EVT0406,2026-04-13,RPT002,quality alert,High,field sales operations,51472,Monitoring,metric definition requires clarification
EVT0407,2026-04-08,RPT025,quality alert,High,category management,16637,Open,source owner confirmation needed
EVT0408,2026-05-08,RPT025,performance review,Critical,category management,16042,In review,metric definition requires clarification
EVT0409,2026-03-17,RPT012,stakeholder training ask,High,bottler finance leads,15382,Resolved,quality exception tied to customer hierarchy mapping
EVT0410,2026-05-09,RPT004,quality alert,High,commercial leadership,38980,Monitoring,refresh evidence attached to operating review
EVT0411,2026-02-19,RPT011,lineage ownership update,High,national customer team,37103,Resolved,training material should be refreshed
EVT0412,2026-01-23,RPT012,refresh exception,Low,bottler finance leads,45770,Open,training material should be refreshed
EVT0413,2026-02-27,RPT020,definition question,High,field sales operations,33397,In review,source owner confirmation needed
EVT0414,2026-02-23,RPT029,refresh exception,High,national customer team,8071,Monitoring,source owner confirmation needed
EVT0415,2026-04-16,RPT013,quality alert,Medium,category management,7929,Monitoring,refresh evidence attached to operating review
EVT0416,2026-04-08,RPT022,lineage ownership update,Low,commercial leadership,9978,Resolved,training material should be refreshed
EVT0417,2026-04-03,RPT016,refresh exception,Low,commercial leadership,14884,In review,source owner confirmation needed
EVT0418,2026-02-02,RPT018,performance review,Low,bottler finance leads,16243,Monitoring,metric definition requires clarification
EVT0419,2026-01-27,RPT005,quality alert,Critical,national customer team,12493,Resolved,refresh evidence attached to operating review
EVT0420,2026-03-06,RPT021,refresh exception,Medium,supply planning,29466,In review,refresh evidence attached to operating review
EVT0421,2026-04-12,RPT004,refresh exception,Critical,commercial leadership,51179,Monitoring,metric definition requires clarification
EVT0422,2026-04-19,RPT014,refresh exception,Medium,field sales operations,11578,Resolved,source owner confirmation needed
EVT0423,2026-03-10,RPT030,stakeholder training ask,Critical,bottler finance leads,36100,In review,source owner confirmation needed
EVT0424,2026-03-23,RPT011,definition question,Critical,national customer team,11710,Open,metric definition requires clarification
EVT0425,2026-02-27,RPT014,definition question,High,field sales operations,38012,In review,quality exception tied to customer hierarchy mapping
EVT0426,2026-03-11,RPT024,definition question,Critical,bottler finance leads,11660,Open,quality exception tied to customer hierarchy mapping
EVT0427,2026-04-06,RPT011,performance review,High,national customer team,40407,Open,quality exception tied to customer hierarchy mapping
EVT0428,2026-05-11,RPT020,definition question,Low,field sales operations,50398,Resolved,refresh evidence attached to operating review
EVT0429,2026-05-17,RPT024,quality alert,Critical,bottler finance leads,29222,In review,refresh evidence attached to operating review
EVT0430,2026-03-05,RPT012,stakeholder training ask,High,bottler finance leads,51639,Resolved,quality exception tied to customer hierarchy mapping
EVT0431,2026-05-16,RPT028,definition question,Critical,commercial leadership,29837,Monitoring,quality exception tied to customer hierarchy mapping
EVT0432,2026-05-15,RPT023,performance review,High,national customer team,45566,Monitoring,refresh evidence attached to operating review
EVT0433,2026-03-02,RPT001,refresh exception,Critical,category management,25143,Open,refresh evidence attached to operating review
EVT0434,2026-04-06,RPT030,performance review,Critical,bottler finance leads,19553,Resolved,source owner confirmation needed
EVT0435,2026-03-08,RPT007,lineage ownership update,Low,category management,21713,In review,training material should be refreshed
EVT0436,2026-03-25,RPT027,stakeholder training ask,Low,supply planning,21542,In review,refresh evidence attached to operating review
EVT0437,2026-03-09,RPT017,lineage ownership update,Critical,national customer team,41657,Resolved,source owner confirmation needed
EVT0438,2026-04-30,RPT004,definition question,Critical,commercial leadership,27888,Open,refresh evidence attached to operating review
EVT0439,2026-03-25,RPT015,performance review,Medium,supply planning,34264,Resolved,source owner confirmation needed
EVT0440,2026-02-02,RPT019,stakeholder training ask,Medium,category management,51205,Monitoring,training material should be refreshed
EVT0441,2026-05-09,RPT001,performance review,Medium,category management,3008,In review,metric definition requires clarification
EVT0442,2026-02-11,RPT022,refresh exception,Medium,commercial leadership,51397,In review,quality exception tied to customer hierarchy mapping
EVT0443,2026-02-11,RPT001,lineage ownership update,High,category management,18596,Monitoring,metric definition requires clarification
EVT0444,2026-03-09,RPT032,quality alert,High,field sales operations,48316,Open,training material should be refreshed
EVT0445,2026-02-22,RPT030,lineage ownership update,Critical,bottler finance leads,42490,Open,training material should be refreshed
EVT0446,2026-02-05,RPT007,performance review,High,category management,19274,Resolved,quality exception tied to customer hierarchy mapping
EVT0447,2026-04-23,RPT016,lineage ownership update,High,commercial leadership,15854,In review,training material should be refreshed
EVT0448,2026-04-03,RPT019,lineage ownership update,Low,category management,29593,Resolved,metric definition requires clarification
EVT0449,2026-05-18,RPT023,performance review,High,national customer team,10581,In review,quality exception tied to customer hierarchy mapping
EVT0450,2026-04-13,RPT031,performance review,High,category management,6388,In review,source owner confirmation needed
EVT0451,2026-01-28,RPT003,lineage ownership update,Low,supply planning,33741,Resolved,quality exception tied to customer hierarchy mapping
EVT0452,2026-02-20,RPT030,refresh exception,Low,bottler finance leads,6414,Resolved,quality exception tied to customer hierarchy mapping
EVT0453,2026-02-19,RPT028,quality alert,Critical,commercial leadership,2868,Open,source owner confirmation needed
EVT0454,2026-04-15,RPT021,refresh exception,High,supply planning,45276,Resolved,quality exception tied to customer hierarchy mapping
EVT0455,2026-04-11,RPT025,refresh exception,Critical,category management,43722,Resolved,source owner confirmation needed
EVT0456,2026-05-08,RPT002,performance review,High,field sales operations,41636,Monitoring,training material should be refreshed
EVT0457,2026-02-22,RPT014,performance review,High,field sales operations,24636,Resolved,metric definition requires clarification
EVT0458,2026-01-22,RPT006,performance review,High,bottler finance leads,11876,Open,quality exception tied to customer hierarchy mapping
EVT0459,2026-05-04,RPT019,refresh exception,Medium,category management,36939,Monitoring,training material should be refreshed
EVT0460,2026-04-02,RPT018,refresh exception,Critical,bottler finance leads,37060,Monitoring,metric definition requires clarification
EVT0461,2026-03-03,RPT021,refresh exception,High,supply planning,21570,Open,training material should be refreshed
EVT0462,2026-04-07,RPT008,refresh exception,Medium,field sales operations,31215,Resolved,refresh evidence attached to operating review
EVT0463,2026-01-20,RPT030,stakeholder training ask,Critical,bottler finance leads,44281,Open,refresh evidence attached to operating review
EVT0464,2026-05-16,RPT006,performance review,Critical,bottler finance leads,39667,Resolved,source owner confirmation needed
EVT0465,2026-04-27,RPT014,definition question,Low,field sales operations,12461,Resolved,quality exception tied to customer hierarchy mapping
EVT0466,2026-03-09,RPT014,lineage ownership update,High,field sales operations,52080,Resolved,quality exception tied to customer hierarchy mapping
EVT0467,2026-03-29,RPT024,quality alert,Critical,bottler finance leads,31544,Open,refresh evidence attached to operating review
EVT0468,2026-05-13,RPT009,quality alert,Critical,supply planning,40459,Open,training material should be refreshed
EVT0469,2026-04-02,RPT025,performance review,High,category management,40392,Open,refresh evidence attached to operating review
EVT0470,2026-05-08,RPT002,lineage ownership update,Medium,field sales operations,33793,Monitoring,source owner confirmation needed
EVT0471,2026-01-21,RPT002,quality alert,Medium,field sales operations,24407,Open,metric definition requires clarification
EVT0472,2026-05-18,RPT002,lineage ownership update,High,field sales operations,25149,Monitoring,quality exception tied to customer hierarchy mapping
EVT0473,2026-03-03,RPT008,stakeholder training ask,Medium,field sales operations,47330,Resolved,quality exception tied to customer hierarchy mapping
EVT0474,2026-05-12,RPT017,quality alert,High,national customer team,42800,Monitoring,metric definition requires clarification
EVT0475,2026-03-22,RPT014,definition question,High,field sales operations,40014,Open,metric definition requires clarification
EVT0476,2026-05-13,RPT031,performance review,Critical,category management,1378,Open,quality exception tied to customer hierarchy mapping
EVT0477,2026-04-10,RPT006,performance review,Low,bottler finance leads,9063,In review,metric definition requires clarification
EVT0478,2026-04-08,RPT031,definition question,Medium,category management,14861,In review,source owner confirmation needed
EVT0479,2026-02-19,RPT018,quality alert,High,bottler finance leads,6543,Monitoring,source owner confirmation needed
EVT0480,2026-05-12,RPT030,refresh exception,Medium,bottler finance leads,33291,Monitoring,quality exception tied to customer hierarchy mapping
EVT0481,2026-02-19,RPT027,quality alert,Critical,supply planning,50972,Open,quality exception tied to customer hierarchy mapping
EVT0482,2026-02-13,RPT005,performance review,Medium,national customer team,12516,Open,quality exception tied to customer hierarchy mapping
EVT0483,2026-02-12,RPT010,refresh exception,High,commercial leadership,19676,Resolved,metric definition requires clarification
EVT0484,2026-02-03,RPT021,lineage ownership update,Critical,supply planning,34944,Open,refresh evidence attached to operating review
EVT0485,2026-04-05,RPT017,definition question,Critical,national customer team,8501,Open,training material should be refreshed
EVT0486,2026-04-15,RPT010,definition question,Low,commercial leadership,2173,In review,quality exception tied to customer hierarchy mapping
EVT0487,2026-02-10,RPT019,quality alert,High,category management,51326,Open,refresh evidence attached to operating review
EVT0488,2026-04-20,RPT003,refresh exception,Medium,supply planning,42279,Open,metric definition requires clarification
EVT0489,2026-03-24,RPT032,performance review,High,field sales operations,14937,Resolved,source owner confirmation needed
EVT0490,2026-05-13,RPT015,refresh exception,High,supply planning,49621,Monitoring,quality exception tied to customer hierarchy mapping
EVT0491,2026-03-03,RPT011,performance review,Low,national customer team,33837,In review,metric definition requires clarification
EVT0492,2026-05-17,RPT016,definition question,Low,commercial leadership,16446,Monitoring,quality exception tied to customer hierarchy mapping
EVT0493,2026-04-27,RPT011,quality alert,Low,national customer team,6554,Resolved,metric definition requires clarification
EVT0494,2026-04-08,RPT032,stakeholder training ask,High,field sales operations,20058,Monitoring,metric definition requires clarification
EVT0495,2026-01-31,RPT006,stakeholder training ask,Critical,bottler finance leads,1769,Open,refresh evidence attached to operating review
EVT0496,2026-01-25,RPT011,lineage ownership update,Medium,national customer team,8131,In review,training material should be refreshed
EVT0497,2026-03-19,RPT001,performance review,Critical,category management,29557,Resolved,training material should be refreshed
EVT0498,2026-03-10,RPT014,quality alert,Medium,field sales operations,8819,In review,training material should be refreshed
EVT0499,2026-04-11,RPT003,refresh exception,Low,supply planning,16916,Resolved,training material should be refreshed
EVT0500,2026-03-30,RPT025,performance review,High,category management,2973,In review,quality exception tied to customer hierarchy mapping
EVT0501,2026-05-07,RPT006,lineage ownership update,High,bottler finance leads,34540,Resolved,training material should be refreshed
EVT0502,2026-04-15,RPT018,performance review,High,bottler finance leads,49387,Monitoring,metric definition requires clarification
EVT0503,2026-02-26,RPT023,stakeholder training ask,Medium,national customer team,44369,Open,training material should be refreshed
EVT0504,2026-02-21,RPT032,definition question,Medium,field sales operations,45691,Open,refresh evidence attached to operating review
EVT0505,2026-03-13,RPT024,quality alert,High,bottler finance leads,39656,Open,training material should be refreshed
EVT0506,2026-03-02,RPT025,refresh exception,High,category management,20930,Resolved,training material should be refreshed
EVT0507,2026-04-18,RPT027,definition question,Critical,supply planning,21480,Open,training material should be refreshed
EVT0508,2026-02-09,RPT021,definition question,Medium,supply planning,47292,Monitoring,training material should be refreshed
EVT0509,2026-03-01,RPT025,refresh exception,Medium,category management,2831,Resolved,metric definition requires clarification
EVT0510,2026-03-21,RPT006,lineage ownership update,High,bottler finance leads,11374,Open,metric definition requires clarification
EVT0511,2026-02-17,RPT007,stakeholder training ask,Critical,category management,23497,Resolved,quality exception tied to customer hierarchy mapping
EVT0512,2026-04-08,RPT015,quality alert,Critical,supply planning,32977,Monitoring,metric definition requires clarification
EVT0513,2026-04-24,RPT029,refresh exception,High,national customer team,17673,In review,metric definition requires clarification
EVT0514,2026-02-03,RPT017,quality alert,High,national customer team,51174,Open,metric definition requires clarification
EVT0515,2026-02-24,RPT014,refresh exception,Medium,field sales operations,20072,Monitoring,metric definition requires clarification
EVT0516,2026-02-18,RPT012,stakeholder training ask,Medium,bottler finance leads,4055,Monitoring,training material should be refreshed
EVT0517,2026-04-06,RPT005,stakeholder training ask,High,national customer team,15390,Monitoring,source owner confirmation needed
EVT0518,2026-05-09,RPT004,stakeholder training ask,Medium,commercial leadership,11764,In review,quality exception tied to customer hierarchy mapping
EVT0519,2026-03-19,RPT032,quality alert,Medium,field sales operations,25633,In review,source owner confirmation needed
EVT0520,2026-03-28,RPT001,definition question,Medium,category management,43153,Monitoring,training material should be refreshed
EVT0521,2026-04-17,RPT023,lineage ownership update,Medium,national customer team,28401,In review,metric definition requires clarification
EVT0522,2026-03-28,RPT006,lineage ownership update,High,bottler finance leads,53635,Resolved,source owner confirmation needed
EVT0523,2026-04-01,RPT004,lineage ownership update,High,commercial leadership,51349,Open,quality exception tied to customer hierarchy mapping
EVT0524,2026-05-16,RPT008,refresh exception,High,field sales operations,13084,Open,refresh evidence attached to operating review
EVT0525,2026-02-25,RPT016,quality alert,Low,commercial leadership,28183,Resolved,metric definition requires clarification
EVT0526,2026-04-14,RPT013,lineage ownership update,High,category management,23443,In review,training material should be refreshed
EVT0527,2026-02-13,RPT013,definition question,Critical,category management,47880,Open,quality exception tied to customer hierarchy mapping
EVT0528,2026-02-05,RPT029,performance review,Low,national customer team,18920,Open,quality exception tied to customer hierarchy mapping
EVT0529,2026-02-12,RPT014,definition question,Medium,field sales operations,19355,In review,source owner confirmation needed
EVT0530,2026-04-08,RPT002,performance review,Low,field sales operations,45809,Monitoring,metric definition requires clarification
EVT0531,2026-03-09,RPT008,quality alert,Medium,field sales operations,9967,Resolved,metric definition requires clarification
EVT0532,2026-04-14,RPT001,lineage ownership update,Critical,category management,51328,In review,training material should be refreshed
EVT0533,2026-03-22,RPT017,lineage ownership update,Medium,national customer team,38741,Open,refresh evidence attached to operating review
EVT0534,2026-05-14,RPT008,quality alert,Low,field sales operations,12145,Resolved,refresh evidence attached to operating review
EVT0535,2026-05-19,RPT028,lineage ownership update,Low,commercial leadership,4466,In review,training material should be refreshed
EVT0536,2026-04-02,RPT008,lineage ownership update,Medium,field sales operations,32051,In review,training material should be refreshed
